CustomerID,FirstName,LastName,DOB,Gender,Phone,Email,Address,City,State,Pincode,KYCTier
CUST001,First1,Last1,1985-01-01,F,9000000001,user1@mail.com,1 Street Lane,Hyderabad,TS,500001,Tier2
CUST002,First2,Last2,1985-01-01,M,9000000002,user2@mail.com,2 Street Lane,Hyderabad,TS,500001,Tier1
CUST003,First3,Last3,1985-01-01,F,9000000003,user3@mail.com,3 Street Lane,Hyderabad,TS,500001,Tier2
CUST004,First4,Last4,1985-01-01,M,9000000004,user4@mail.com,4 Street Lane,Hyderabad,TS,500001,Tier1
CUST005,First5,Last5,1985-01-01,F,9000000005,user5@mail.com,5 Street Lane,Hyderabad,TS,500001,Tier2
CUST006,First6,Last6,1985-01-01,M,9000000006,user6@mail.com,6 Street Lane,Hyderabad,TS,500001,Tier1
CUST007,First7,Last7,1985-01-01,F,9000000007,user7@mail.com,7 Street Lane,Hyderabad,TS,500001,Tier2
CUST008,First8,Last8,1985-01-01,M,9000000008,user8@mail.com,8 Street Lane,Hyderabad,TS,500001,Tier1
CUST009,First9,Last9,1985-01-01,F,9000000009,user9@mail.com,9 Street Lane,Hyderabad,TS,500001,Tier2
CUST010,First10,Last10,1985-01-01,M,9000000010,user10@mail.com,10 Street Lane,Hyderabad,TS,500001,Tier1
CUST011,First11,Last11,1985-01-01,F,9000000011,user11@mail.com,11 Street Lane,Hyderabad,TS,500001,Tier2
CUST012,First12,Last12,1985-01-01,M,9000000012,user12@mail.com,12 Street Lane,Hyderabad,TS,500001,Tier1
CUST013,First13,Last13,1985-01-01,F,9000000013,user13@mail.com,13 Street Lane,Hyderabad,TS,500001,Tier2
CUST014,First14,Last14,1985-01-01,M,9000000014,user14@mail.com,14 Street Lane,Hyderabad,TS,500001,Tier1
CUST015,First15,Last15,1985-01-01,F,9000000015,user15@mail.com,15 Street Lane,Hyderabad,TS,500001,Tier2
CUST016,First16,Last16,1985-01-01,M,9000000016,user16@mail.com,16 Street Lane,Hyderabad,TS,500001,Tier1
CUST017,First17,Last17,1985-01-01,F,9000000017,user17@mail.com,17 Street Lane,Hyderabad,TS,500001,Tier2
CUST018,First18,Last18,1985-01-01,M,9000000018,user18@mail.com,18 Street Lane,Hyderabad,TS,500001,Tier1
CUST019,First19,Last19,1985-01-01,F,9000000019,user19@mail.com,19 Street Lane,Hyderabad,TS,500001,Tier2
CUST020,First20,Last20,1985-01-01,M,9000000020,user20@mail.com,20 Street Lane,Hyderabad,TS,500001,Tier1
CUST021,First21,Last21,1985-01-01,F,9000000021,user21@mail.com,21 Street Lane,Hyderabad,TS,500001,Tier2
CUST022,First22,Last22,1985-01-01,M,9000000022,user22@mail.com,22 Street Lane,Hyderabad,TS,500001,Tier1
CUST023,First23,Last23,1985-01-01,F,9000000023,user23@mail.com,23 Street Lane,Hyderabad,TS,500001,Tier2
CUST024,First24,Last24,1985-01-01,M,9000000024,user24@mail.com,24 Street Lane,Hyderabad,TS,500001,Tier1
CUST025,First25,Last25,1985-01-01,F,9000000025,user25@mail.com,25 Street Lane,Hyderabad,TS,500001,Tier2
CUST026,First26,Last26,1985-01-01,M,9000000026,user26@mail.com,26 Street Lane,Hyderabad,TS,500001,Tier1
CUST027,First27,Last27,1985-01-01,F,9000000027,user27@mail.com,27 Street Lane,Hyderabad,TS,500001,Tier2
CUST028,First28,Last28,1985-01-01,M,9000000028,user28@mail.com,28 Street Lane,Hyderabad,TS,500001,Tier1
CUST029,First29,Last29,1985-01-01,F,9000000029,user29@mail.com,29 Street Lane,Hyderabad,TS,500001,Tier2
CUST030,First30,Last30,1985-01-01,M,9000000030,user30@mail.com,30 Street Lane,Hyderabad,TS,500001,Tier1
CUST031,First31,Last31,1985-01-01,F,9000000031,user31@mail.com,31 Street Lane,Hyderabad,TS,500001,Tier2
CUST032,First32,Last32,1985-01-01,M,9000000032,user32@mail.com,32 Street Lane,Hyderabad,TS,500001,Tier1
CUST033,First33,Last33,1985-01-01,F,9000000033,user33@mail.com,33 Street Lane,Hyderabad,TS,500001,Tier2
CUST034,First34,Last34,1985-01-01,M,9000000034,user34@mail.com,34 Street Lane,Hyderabad,TS,500001,Tier1
CUST035,First35,Last35,1985-01-01,F,9000000035,user35@mail.com,35 Street Lane,Hyderabad,TS,500001,Tier2
CUST036,First36,Last36,1985-01-01,M,9000000036,user36@mail.com,36 Street Lane,Hyderabad,TS,500001,Tier1
CUST037,First37,Last37,1985-01-01,F,9000000037,user37@mail.com,37 Street Lane,Hyderabad,TS,500001,Tier2
CUST038,First38,Last38,1985-01-01,M,9000000038,user38@mail.com,38 Street Lane,Hyderabad,TS,500001,Tier1
CUST039,First39,Last39,1985-01-01,F,9000000039,user39@mail.com,39 Street Lane,Hyderabad,TS,500001,Tier2
CUST040,First40,Last40,1985-01-01,M,9000000040,user40@mail.com,40 Street Lane,Hyderabad,TS,500001,Tier1
CUST041,First41,Last41,1985-01-01,F,9000000041,user41@mail.com,41 Street Lane,Hyderabad,TS,500001,Tier2
CUST042,First42,Last42,1985-01-01,M,9000000042,user42@mail.com,42 Street Lane,Hyderabad,TS,500001,Tier1
CUST043,First43,Last43,1985-01-01,F,9000000043,user43@mail.com,43 Street Lane,Hyderabad,TS,500001,Tier2
CUST044,First44,Last44,1985-01-01,M,9000000044,user44@mail.com,44 Street Lane,Hyderabad,TS,500001,Tier1
CUST045,First45,Last45,1985-01-01,F,9000000045,user45@mail.com,45 Street Lane,Hyderabad,TS,500001,Tier2
CUST046,First46,Last46,1985-01-01,M,9000000046,user46@mail.com,46 Street Lane,Hyderabad,TS,500001,Tier1
CUST047,First47,Last47,1985-01-01,F,9000000047,user47@mail.com,47 Street Lane,Hyderabad,TS,500001,Tier2
CUST048,First48,Last48,1985-01-01,M,9000000048,user48@mail.com,48 Street Lane,Hyderabad,TS,500001,Tier1
CUST049,First49,Last49,1985-01-01,F,9000000049,user49@mail.com,49 Street Lane,Hyderabad,TS,500001,Tier2
CUST050,First50,Last50,1985-01-01,M,9000000050,user50@mail.com,50 Street Lane,Hyderabad,TS,500001,Tier1
CUST051,First51,Last51,1985-01-01,F,9000000051,user51@mail.com,51 Street Lane,Hyderabad,TS,500001,Tier2
CUST052,First52,Last52,1985-01-01,M,9000000052,user52@mail.com,52 Street Lane,Hyderabad,TS,500001,Tier1
CUST053,First53,Last53,1985-01-01,F,9000000053,user53@mail.com,53 Street Lane,Hyderabad,TS,500001,Tier2
CUST054,First54,Last54,1985-01-01,M,9000000054,user54@mail.com,54 Street Lane,Hyderabad,TS,500001,Tier1
